case_id,variant_id,level,agent_name,agent_variant,run_id,claim_id,claim_type,agent_claim,cited_evidence,confidence,what_would_falsify_this_claim,raw_output_file,human_judgment,error_type,severity,explanation,annotator_id,notes
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL001,Causal (ITT),Advance notice affects contact probability,"Reduced-form regression of *Cᵢ* on Arm B indicator (vs. Arm A), with block FE","High, under randomization","No statistically significant difference between Arm A and Arm B in contact rates, with a precisely estimated zero",outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,supported,none,,The claim matches the case's intended identification logic and is stated within the randomized or quasi-random design conditions allowed by the gold reference.,codex_first_pass,task20 first-pass; calibration_set
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL002,Causal (ITT),Adding a low-cost opt-out reduces contact probability,Reduced-form regression of *Cᵢ* on Arm C vs. Arm B contrast,"High, under randomization and if manipulation is successful",Contact rates in Arm C are not lower than in Arm B (with sufficient power to detect a meaningful difference),outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,partially_supported,Overclaim,major,"The packet supports varying pre-contact interaction cost, but it does not establish a specific low-cost opt-out implementation as a known design fact.",codex_first_pass,task20 first-pass; calibration_set
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL003,Causal (ITT),Unconditional giving differs across solicitation-process conditions,Reduced-form regression of *Gᵢ* on treatment indicators,"High, under randomization",No difference in unconditional giving rates across arms,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,supported,none,,The claim matches the case's intended identification logic and is stated within the randomized or quasi-random design conditions allowed by the gold reference.,codex_first_pass,task20 first-pass
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL004,Descriptive decomposition,The total giving effect can be decomposed into contact-margin and conditional-giving components,Accounting identity decomposition applied to ITT estimates,High (it is an identity given the estimates),"Not falsifiable — it is an accounting relationship. However, if the contact margin explains all of the total effect, the conditional-giving component is zero",outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,supported,none,,The claim stays within a descriptive or bounded interpretation that is consistent with the packet and the case-specific gold reference.,codex_first_pass,task20 first-pass
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL005,Descriptive association; suggestive of mechanism,Small gifts are differentially sensitive to pressure,Interaction between treatment and contribution-size category in a multinomial/ordered model,Low (confounded by selection and alternative explanations),"Small-gift share does not differ differentially across arms; or the pattern is consistent with alternative explanations (e.g., differential selection by income)",outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,partially_supported,Overclaim,major,"The design can look for differential small-gift patterns, but that pattern alone does not cleanly identify pressure sensitivity rather than selection or income composition.",codex_first_pass,task20 first-pass
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL006,Descriptive; consistent with mechanism but not a causal test,Genuine willingness accounts for giving that persists when avoidance is easy,"Giving rate in Arm C among contacted units, relative to Arm B","Moderate for existence, low for magnitude","Giving in Arm C among contacted units is near zero (inconsistent with any genuine willingness) or identical to Arm B (the opt-out selects out no one, so willingness cannot be separated from other motives)",outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,partially_supported,Overclaim,major,"Observed giving under easier avoidance is consistent with genuine willingness, but it does not isolate a pure altruism component without stronger principal-strata assumptions.",codex_first_pass,task20 first-pass
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL007,Descriptive behavioral measure,The opt-out mechanism reveals avoidance preference,Opt-out take-up rate in Arm C; differential contact rates between B and C,"Moderate (if opt-out rate > 0, avoidance preference exists in at least some units)","Opt-out rate is zero; or opt-out rate is positive but driven by factors unrelated to avoidance (e.g., language barriers, misunderstanding)",outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,partially_supported,Overclaim,major,"The packet supports measuring avoidance behavior, but it does not justify treating a specific opt-out mechanism as fully observed and interpretation-clean.",codex_first_pass,task20 first-pass
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL008,Robustness check,The results are not driven by solicitor-level confounds,Solicitor FE regressions; solicitor × treatment interaction tests,"High for ruling out large confounds, moderate for small ones",Treatment effects change substantially when solicitor FE are included; or solicitor × treatment interactions are large and significant,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,supported,none,,"The packet and gold reference explicitly require this diagnostic or robustness check as part of a credible design, so the claim is warranted as a planned evaluative component.",codex_first_pass,task20 first-pass
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL009,Robustness check,The findings are not artifacts of spatial spillover,Cluster-robust SE at route/building level; spatial correlation tests,Moderate (spillover is difficult to rule out conclusively),Standard errors inflate substantially under spatial clustering; or neighbor-treatment indicators are significant predictors of own outcomes,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,supported,none,,"The packet and gold reference explicitly require this diagnostic or robustness check as part of a credible design, so the claim is warranted as a planned evaluative component.",codex_first_pass,task20 first-pass
C001,level3,level3,openclaw,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL001,Causal (point-identified under random assignment),Solicitation-process conditions causally affect contact probability,"ITT estimate of treatment assignment on contact, with cluster-robust inference; balance on pre-treatment covariates",High,Failure of balance on observables; evidence of selective noncompliance or differential attrition by arm,outputs/raw_agent_logs/main/C001_level3_openclaw_RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated.md,supported,none,,The claim matches the case's intended identification logic and is stated within the randomized or quasi-random design conditions allowed by the gold reference.,codex_first_pass,task20 first-pass
