case_id,published_memo_file,agent_memo_file,source_gold_reference,source_agent_log
C001,outputs/pairwise_design_memos/C001_published_design_memo.md,outputs/pairwise_design_memos/C001_agent_design_memo.md,benchmark/cases/C001_charitable_giving/gold_reference.md,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md
C002,outputs/pairwise_design_memos/C002_published_design_memo.md,outputs/pairwise_design_memos/C002_agent_design_memo.md,benchmark/cases/C002_consumer_credit/gold_reference.md,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md
C004,outputs/pairwise_design_memos/C004_published_design_memo.md,outputs/pairwise_design_memos/C004_agent_design_memo.md,benchmark/cases/C004_paid_search_effectiveness/gold_reference.md,outputs/raw_agent_logs/main/C004_level2_openclaw_RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated.md
C005,outputs/pairwise_design_memos/C005_published_design_memo.md,outputs/pairwise_design_memos/C005_agent_design_memo.md,benchmark/cases/C005_online_ad_measurement/gold_reference.md,outputs/raw_agent_logs/main/C005_level2_openclaw_RUN_20260527_224724_11_openclaw_deepseekv4pro_isolated.md
C008,outputs/pairwise_design_memos/C008_published_design_memo.md,outputs/pairwise_design_memos/C008_agent_design_memo.md,benchmark/cases/C008_retail_tax_salience/gold_reference.md,outputs/raw_agent_logs/main/C008_level2_openclaw_RUN_20260527_230420_15_openclaw_deepseekv4pro_isolated.md
C010,outputs/pairwise_design_memos/C010_published_design_memo.md,outputs/pairwise_design_memos/C010_agent_design_memo.md,benchmark/cases/C010_fertilizer_present_bias/gold_reference.md,outputs/raw_agent_logs/main/C010_level2_openclaw_RUN_20260527_231632_18_openclaw_deepseekv4pro_isolated.md
C014,outputs/pairwise_design_memos/C014_published_design_memo.md,outputs/pairwise_design_memos/C014_agent_design_memo.md,benchmark/cases/C014_corruption_monitoring/gold_reference.md,outputs/raw_agent_logs/main/C014_level2_openclaw_RUN_20260527_232816_21_openclaw_deepseekv4pro_isolated.md
C016,outputs/pairwise_design_memos/C016_published_design_memo.md,outputs/pairwise_design_memos/C016_agent_design_memo.md,benchmark/cases/C016_hiv_risk_information/gold_reference.md,outputs/raw_agent_logs/main/C016_level2_openclaw_RUN_20260527_234026_24_openclaw_deepseekv4pro_isolated.md
C019,outputs/pairwise_design_memos/C019_published_design_memo.md,outputs/pairwise_design_memos/C019_agent_design_memo.md,benchmark/cases/C019_in_store_travel_distance/gold_reference.md,outputs/raw_agent_logs/main/C019_level2_openclaw_RUN_20260527_235916_28_openclaw_deepseekv4pro_isolated.md
C020,outputs/pairwise_design_memos/C020_published_design_memo.md,outputs/pairwise_design_memos/C020_agent_design_memo.md,benchmark/cases/C020_price_ending_field_experiment/gold_reference.md,outputs/raw_agent_logs/main/C020_level2_openclaw_RUN_20260528_001055_31_openclaw_deepseekv4pro_isolated.md
