case_id,level2_run_id,perturbed_run_id,broken_condition,level2_logic,perturbed_behavior,mechanical_reuse,audit_rationale
C001,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated,pre-contact state is no longer researcher-assigned; households self-select into pre-contact availability,use variation in contact and avoidance frictions to separate social pressure from underlying willingness,agent keeps mechanism-separation language and reuses contribution-pattern logic instead of fully downgrading the estimand,yes,"The perturbed packet breaks clean assignment of pre-contact state, but the output continues to reason as if the base decomposition remains available."
C002,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated,borrowers are no longer cleanly blind to later terms at take-up,separate adverse selection from repayment incentives using staged timing variation,agent keeps the staged decomposition and still treats selection and incentive channels as separately identified,yes,The output does not fully re-scope the estimand after the key timing condition is weakened.
C004,RUN_20260527_223907_09_openclaw_deepseekv4pro_isolated,RUN_20260527_224310_10_openclaw_deepseekv4pro_isolated,ad-availability variation is manager-chosen rather than exogenous,use exogenous ad-availability variation to identify incremental downstream sales effects,"agent still proposes sensitivity analysis and weaker diagnostics, but retains causal language around ad-availability effects",yes,"The output downgrades somewhat, but not enough to stop using the broken assignment as if it still carried causal identification."
C005,RUN_20260527_224724_11_openclaw_deepseekv4pro_isolated,RUN_20260527_225443_13_openclaw_deepseekv4pro_isolated,untreated opportunity-side logs are removed,compare exposed and unexposed units within the same opportunity set to identify exposed-user lift,agent continues to claim exposed-user causal lift and LATE-style interpretation,yes,This is the clearest mechanical reuse case in the benchmark.
C008,RUN_20260527_230420_15_openclaw_deepseekv4pro_isolated,RUN_20260527_231251_17_openclaw_deepseekv4pro_isolated,untreated comparison stores/products are no longer available in the original clean form,use relative tax-visibility contrasts with untreated comparisons to isolate salience effects,agent still frames the problem in the original salience-comparison design language,yes,The output preserves more of the base comparison logic than the perturbed packet supports.
C010,RUN_20260527_231632_18_openclaw_deepseekv4pro_isolated,RUN_20260527_232448_20_openclaw_deepseekv4pro_isolated,"later offer is known in advance, weakening timing-based procrastination separation",use timing contrast between early small intervention and later known alternatives to diagnose present-bias/procrastination,"agent still leans on procrastination interpretation, although with some caveats",yes,The output softens the claim but still reuses the base mechanism story too directly.
C014,RUN_20260527_232816_21_openclaw_deepseekv4pro_isolated,RUN_20260527_233717_23_openclaw_deepseekv4pro_isolated,independent outcome measurement is removed; only official reports remain,compare treatment effects on independently measured corruption-related outcomes,agent still interprets official-report changes as if they were clean corruption outcomes,yes,The output does not fully absorb the measurement breakdown.
C016,RUN_20260527_234026_24_openclaw_deepseekv4pro_isolated,RUN_20260527_235045_26_openclaw_deepseekv4pro_isolated,"objective downstream outcome is removed, leaving selected self-reports",contrast targeted information with generic curriculum and interpret downstream effects using objective outcomes,agent continues to interpret self-report differences as if they could directly support actual behavior change,yes,The output weakens some claims but still reuses the base behavioral interpretation too aggressively.
C019,RUN_20260527_235916_28_openclaw_deepseekv4pro_isolated,RUN_20260528_000656_30_openclaw_deepseekv4pro_isolated,clean pre-trip basket capture is removed,combine pre-trip intent measurement with route variation to isolate route-induced incremental spending,agent pivots toward proxy-based and assumption-heavy design rather than simply reusing the full base estimand,no,"The output still stretches some assumptions, but it does recognize the main design downgrade and proposes a weaker approach."
C020,RUN_20260528_001055_31_openclaw_deepseekv4pro_isolated,RUN_20260528_001721_33_openclaw_deepseekv4pro_isolated,price ending is bundled with markdown/sale framing,hold underlying price constant while varying terminal-digit format to separate formatting from bargaining cues,agent still talks as if ending-format effects can be separated from sale-signal effects,yes,The output does not fully abandon the base mechanism separation after bundling is introduced.
