case_id,variant_id,level,agent_variant,run_id,claim_id,claim_type,agent_claim,cited_evidence,confidence,what_would_falsify_this_claim,verbatim_quote,source_section,raw_output_file,notes
C001,level2,level2,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL001,Causal (ITT),Advance notice affects contact probability,"Reduced-form regression of *Cᵢ* on Arm B indicator (vs. Arm A), with block FE","High, under randomization","No statistically significant difference between Arm A and Arm B in contact rates, with a precisely estimated zero",Advance notice affects contact probability,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level2,level2,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL002,Causal (ITT),Adding a low-cost opt-out reduces contact probability,Reduced-form regression of *Cᵢ* on Arm C vs. Arm B contrast,"High, under randomization and if manipulation is successful",Contact rates in Arm C are not lower than in Arm B (with sufficient power to detect a meaningful difference),Adding a low-cost opt-out reduces contact probability,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level2,level2,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL003,Causal (ITT),Unconditional giving differs across solicitation-process conditions,Reduced-form regression of *Gᵢ* on treatment indicators,"High, under randomization",No difference in unconditional giving rates across arms,Unconditional giving differs across solicitation-process conditions,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level2,level2,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL004,Descriptive decomposition,The total giving effect can be decomposed into contact-margin and conditional-giving components,Accounting identity decomposition applied to ITT estimates,High (it is an identity given the estimates),"Not falsifiable — it is an accounting relationship. However, if the contact margin explains all of the total effect, the conditional-giving component is zero",The total giving effect can be decomposed into contact-margin and conditional-giving components,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level2,level2,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL005,Descriptive association; suggestive of mechanism,Small gifts are differentially sensitive to pressure,Interaction between treatment and contribution-size category in a multinomial/ordered model,Low (confounded by selection and alternative explanations),"Small-gift share does not differ differentially across arms; or the pattern is consistent with alternative explanations (e.g., differential selection by income)",Small gifts are differentially sensitive to pressure,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level2,level2,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL006,Descriptive; consistent with mechanism but not a causal test,Genuine willingness accounts for giving that persists when avoidance is easy,"Giving rate in Arm C among contacted units, relative to Arm B","Moderate for existence, low for magnitude","Giving in Arm C among contacted units is near zero (inconsistent with any genuine willingness) or identical to Arm B (the opt-out selects out no one, so willingness cannot be separated from other motives)",Genuine willingness accounts for giving that persists when avoidance is easy,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level2,level2,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL007,Descriptive behavioral measure,The opt-out mechanism reveals avoidance preference,Opt-out take-up rate in Arm C; differential contact rates between B and C,"Moderate (if opt-out rate > 0, avoidance preference exists in at least some units)","Opt-out rate is zero; or opt-out rate is positive but driven by factors unrelated to avoidance (e.g., language barriers, misunderstanding)",The opt-out mechanism reveals avoidance preference,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level2,level2,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL008,Robustness check,The results are not driven by solicitor-level confounds,Solicitor FE regressions; solicitor × treatment interaction tests,"High for ruling out large confounds, moderate for small ones",Treatment effects change substantially when solicitor FE are included; or solicitor × treatment interactions are large and significant,The results are not driven by solicitor-level confounds,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level2,level2,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL009,Robustness check,The findings are not artifacts of spatial spillover,Cluster-robust SE at route/building level; spatial correlation tests,Moderate (spillover is difficult to rule out conclusively),Standard errors inflate substantially under spatial clustering; or neighbor-treatment indicators are significant predictors of own outcomes,The findings are not artifacts of spatial spillover,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level3,level3,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL001,Causal (point-identified under random assignment),Solicitation-process conditions causally affect contact probability,"ITT estimate of treatment assignment on contact, with cluster-robust inference; balance on pre-treatment covariates",High,Failure of balance on observables; evidence of selective noncompliance or differential attrition by arm,Solicitation-process conditions causally affect contact probability,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level3_openclaw_RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level3,level3,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL002,Causal (point-identified under random assignment),Solicitation-process conditions causally affect unconditional giving,"ITT estimate of treatment assignment on giving, with cluster-robust inference",High,Same as above; or evidence of spillover that contaminates the control condition,Solicitation-process conditions causally affect unconditional giving,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level3_openclaw_RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level3,level3,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL003,Causal (ITT) for contact-rate differences; mechanism inference for sorting vs. scheduling,"Advance notice enables sorting/avoidance, not just scheduling","Contact rate is lower under advance-notice arms (B, C) than under no-notice arm (A), and lower in C than in B (revealed preference for avoidance via opt-out)",Medium-High for existence of avoidance; Medium for scheduling vs. avoidance distinction,"Contact rate does not differ across arms → no evidence of sorting; contact rate differs between A and B but not B and C → consistent with scheduling-only, not active avoidance","Advance notice enables sorting/avoidance, not just scheduling",Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level3_openclaw_RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level3,level3,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL004,Pattern-of-evidence (not point-identified),Some giving under standard solicitation is pressure-driven,Unconditional giving falls from B to C by more than can be explained by the contact-rate change alone; small contributions disproportionately affected; opt-out households had positive giving under B,Medium,Conditional giving distribution is unchanged across B and C; all giving reduction is explained by contact-rate change; opt-out households were zero-givers under B,Some giving under standard solicitation is pressure-driven,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level3_openclaw_RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level3,level3,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL005,Correlational pattern,Contribution size is informative about pressure vs. genuine willingness,Small contributions differentially disappear in low-pressure arm (C); large contributions are stable across arms,Low-Medium,Contribution-size distribution shifts uniformly across arms; or small contributions are stable while large contributions change (opposite pattern),Contribution size is informative about pressure vs. genuine willingness,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level3_openclaw_RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level3,level3,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL006,Descriptive / diagnostic,Contact selection is non-ignorable,Observable characteristics of contacted households differ across arms; bounds on conditional-giving effects differ from naive conditional estimates,High,No observable differences in contacted-household composition across arms; Lee bounds are trivially tight (but this does not prove ignorability),Contact selection is non-ignorable,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level3_openclaw_RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C001,level3,level3,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL007,Diagnostic (failure to reject null of no spillover),Spillover effects are absent or small,No correlation between household outcomes and neighbors' treatment assignment; results robust to route-level clustering,Medium (limited power for spillover detection),Significant correlation between own outcomes and neighbor treatment; route-level vs. household-level standard errors differ substantially,Spillover effects are absent or small,Claim-Evidence Table,outputs/raw_agent_logs/main/C001_level3_openclaw_RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level2,level2,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL001,Causal,Pre-borrowing offer terms causally affect the take-up decision.,ITT estimate of Z_pre on Y_takeup from randomized offer variation; balance on pre-offer covariates across Z_pre arms.,High (if A1 holds),No significant difference in take-up rates across Z_pre arms; or pre-treatment imbalance across arms.,Pre-borrowing offer terms causally affect the take-up decision.,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level2,level2,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL002,Causal (M1),Pre-borrowing offer terms causally shift the risk composition of accepted borrowers.,Significant θ₁ in risk-composition regression; shift in mean risk score across Z_pre arms among acceptors.,High (if A1 holds),"No difference in risk-score distribution among acceptors across Z_pre arms, despite different take-up rates.",Pre-borrowing offer terms causally shift the risk composition of accepted borrowers.,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level2,level2,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL003,Causal (M2),Post-borrowing terms causally affect repayment behavior.,Significant γ₂ in repayment equation; Z_post randomly assigned and orthogonal to Z_pre; information separation test passes.,High (if A1–A5 hold),γ₂ not significant; or information separation test fails; or post-acceptance imbalance across Z_post arms.,Post-borrowing terms causally affect repayment behavior.,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level2,level2,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL004,Causal (mechanism),Selection and incentive effects are additive (do not interact).,γ₃ not significantly different from zero in the Z_pre × Z_post interaction term.,Moderate (depends on power),Significant γ₃; or visual inspection of repayment-by-stratum plots shows non-parallel patterns.,Selection and incentive effects are additive (do not interact).,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
