case_id,level2_run_id,perturbed_run_id,broken_condition,level2_logic,perturbed_behavior,mechanical_reuse,audit_rationale
C001,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1,pre-contact state is no longer researcher-assigned; households self-select into pre-contact availability,use variation in contact and avoidance frictions to separate social pressure from underlying willingness,agent abandons point identification and replaces the base decomposition with descriptive four-way stratification plus a bounded revealed-preference exercise,no,The final memo explicitly says the perturbation is fatal to the base causal design and downgrades claims to descriptive or bound-based statements rather than preserving the original decomposition.
C002,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260531_164250_02_openclaw_deepseekv4pro_researchagentv1,borrowers are no longer cleanly blind to later terms at take-up,separate adverse selection from repayment incentives using staged timing variation,agent rejects clean channel separation and keeps only a narrower within-borrower realized-terms design under strong added assumptions,no,"The output no longer claims that selection and incentive effects remain separately identified; the surviving fixed-effects design targets a different, weaker incentive-margin estimand."
C004,RUN_20260527_223907_09_openclaw_deepseekv4pro_isolated,RUN_20260531_165312_03_openclaw_deepseekv4pro_researchagentv1,ad-availability variation is manager-chosen rather than exogenous,use exogenous ad-availability variation to identify incremental downstream sales effects,agent discards all causal candidates and recommends descriptive correlational benchmarking only,no,The memo fully abandons the broken exogeneity logic instead of trying to salvage causal ad-availability effects with surface-level threat language.
C005,RUN_20260527_224724_11_openclaw_deepseekv4pro_isolated,RUN_20260531_170002_04_openclaw_deepseekv4pro_researchagentv1,untreated opportunity-side logs are removed,compare exposed and unexposed units within the same opportunity set to identify exposed-user lift,agent centers the ITT but still retains an IV/LATE estimate of actual exposure as a supplementary causal quantity,yes,"The final memo does downgrade the headline estimand, but it still preserves a causal actual-exposure LATE despite the packet removing the clean opportunity-side support that made the base exposed-user logic credible."
C008,RUN_20260527_230420_15_openclaw_deepseekv4pro_isolated,RUN_20260531_170747_05_openclaw_deepseekv4pro_researchagentv1,untreated comparison stores/products are no longer available in the original clean form,use relative tax-visibility contrasts with untreated comparisons to isolate salience effects,"agent recommends descriptive pre-post analysis, but still keeps a within-store DiD and salience-gradient story as a secondary causal attempt",yes,"The clean untreated comparison is gone, yet the memo still leans on treated-versus-untreated within-store comparisons and salience-pattern interpretation rather than fully dropping the base comparison design."
C010,RUN_20260527_231632_18_openclaw_deepseekv4pro_isolated,RUN_20260531_171514_06_openclaw_deepseekv4pro_researchagentv1,"later offer is known in advance, weakening timing-based procrastination separation",use timing contrast between early small intervention and later known alternatives to diagnose present-bias/procrastination,agent narrows the estimand to the ITT of the announced schedule bundle and explicitly rejects procrastination identification,no,The output stops short of reusing the base procrastination story and clearly states that timing and anticipation are now fused.
C014,RUN_20260527_232816_21_openclaw_deepseekv4pro_isolated,RUN_20260531_172257_07_openclaw_deepseekv4pro_researchagentv1,independent outcome measurement is removed; only official reports remain,compare treatment effects on independently measured corruption-related outcomes,agent narrows the remaining causal claim to reporting-side ITT and explicitly refuses corruption claims,no,The memo treats administrative reports as the only credible outcome target left and does not keep the base corruption-reduction interpretation.
C016,RUN_20260527_234026_24_openclaw_deepseekv4pro_isolated,RUN_20260531_173157_08_openclaw_deepseekv4pro_researchagentv1,"objective downstream outcome is removed, leaving selected self-reports",contrast targeted information with generic curriculum and interpret downstream effects using objective outcomes,agent abandons point identification and replaces the base interpretation with bounds and descriptive self-report analysis,no,The final memo absorbs the measurement breakdown and no longer treats self-reports as if they identified actual behavioral change.
C019,RUN_20260527_235916_28_openclaw_deepseekv4pro_isolated,RUN_20260531_174004_09_openclaw_deepseekv4pro_researchagentv1,clean pre-trip basket capture is removed,combine pre-trip intent measurement with route variation to isolate route-induced incremental spending,agent abandons causal route-length designs and keeps only descriptive correlation decomposition,no,The memo fully downgrades to non-causal route-spending associations and does not preserve the base incremental-spending identification logic.
C020,RUN_20260528_001055_31_openclaw_deepseekv4pro_isolated,RUN_20260531_174815_10_openclaw_deepseekv4pro_researchagentv1,price ending is bundled with markdown/sale framing,hold underlying price constant while varying terminal-digit format to separate formatting from bargaining cues,agent abandons the standalone format-effect target and reframes the task around descriptive bundle analysis plus an alternative bundle estimand,no,The output no longer claims that ending-format effects can be separated from promotion effects; the remaining bundle discussion changes the estimand rather than reusing the base mechanism separation.
