case_id,variant_id,level,agent_name,agent_variant,run_id,claim_id,claim_type,agent_claim,labeler2_judgment,labeler2_error_type,labeler2_severity,labeler2_explanation,annotator_id,notes
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL003,Causal,Providing an opt-out (T4) reduces total giving relative to mandatory visit (T2),partially_supported,Overclaim,major,"Second-pass review agrees that a weaker version is supportable, but the current wording is still somewhat too strong.",codex_second_pass,task21 second-pass stratified sample
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL004,Suggestive/mechanism,Social pressure is a meaningful driver of in-person giving,partially_supported,Overclaim,major,"Second-pass review agrees that a weaker version is supportable, but the current wording is still somewhat too strong.",codex_second_pass,task21 second-pass stratified sample
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL005,Suggestive/mechanism,Genuine demand is the primary driver of giving,unsupported,Unsupported Claim,critical,Second-pass review agrees that the packet and gold reference do not provide enough support for the claim.,codex_second_pass,task21 second-pass stratified sample
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL007,Suggestive/mechanism,Households that opt out of visits (T4) would have been pressure-givers in T1,unsupported,Unsupported Claim,critical,Second-pass review agrees that the packet and gold reference do not provide enough support for the claim.,codex_second_pass,task21 second-pass stratified sample
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL009,Suggestive/mechanism,Solicitor identity affects giving through social interaction channels,unsupported,Unsupported Claim,minor,Second-pass review agrees that the packet and gold reference do not provide enough support for the claim.,codex_second_pass,task21 second-pass stratified sample
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL001,Causal (ITT),Advance notice affects contact probability,supported,none,,Second-pass review agrees that the claim is stated at a defensible strength relative to the packet and gold reference.,codex_second_pass,task21 second-pass stratified sample
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL002,Causal (ITT),Adding a low-cost opt-out reduces contact probability,partially_supported,Overclaim,major,"Second-pass review agrees that a weaker version is supportable, but the current wording is still somewhat too strong.",codex_second_pass,task21 second-pass stratified sample
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL005,Descriptive association; suggestive of mechanism,Small gifts are differentially sensitive to pressure,partially_supported,Overclaim,major,"Second-pass review agrees that a weaker version is supportable, but the current wording is still somewhat too strong.",codex_second_pass,task21 second-pass stratified sample
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL006,Descriptive; consistent with mechanism but not a causal test,Genuine willingness accounts for giving that persists when avoidance is easy,partially_supported,Overclaim,major,"Second-pass review agrees that a weaker version is supportable, but the current wording is still somewhat too strong.",codex_second_pass,task21 second-pass stratified sample
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL007,Descriptive behavioral measure,The opt-out mechanism reveals avoidance preference,partially_supported,Overclaim,major,"Second-pass review agrees that a weaker version is supportable, but the current wording is still somewhat too strong.",codex_second_pass,task21 second-pass stratified sample
C001,level3,level3,openclaw,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL003,Causal (ITT) for contact-rate differences; mechanism inference for sorting vs. scheduling,"Advance notice enables sorting/avoidance, not just scheduling",partially_supported,Overclaim,major,"Second-pass review agrees that a weaker version is supportable, but the current wording is still somewhat too strong.",codex_second_pass,task21 second-pass stratified sample
