case_id,level2_run_id,threat_1,threat_1_gold_basis,threat_1_hit,threat_1_evidence,threat_2,threat_2_gold_basis,threat_2_hit,threat_2_evidence,hits,max_hits,audit_note
C001,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,"social-pressure identification requires a low-cost avoidance or opt-out channel, not just solicitation assignment",C001 gold: Linchpin L001-L002; Must-Have Conditions 2 and 5,yes,Sections 8 and 10 explicitly treat the Arm C vs Arm B contrast as the causal effect of adding a low-cost opt-out and reject a simple solicitation-only interpretation.,contact and avoidance must be analyzed separately from donation outcomes,C001 gold: Must-Have Conditions 1 and 4; Claim-Evidence Expectations on door opening/contact,yes,"Sections 7, 10, and 15 distinguish contact from conditional giving, and the output defines separate contact and contribution measurement issues.",2,2,"Strong recognition, despite later packet-overreach in some concrete implementation details."
C002,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,selection into borrowing must be separated from post-borrowing incentive effects,C002 gold: Linchpin 1-2; Must-Have Conditions 1-2,yes,"Sections 7, 8, and 10 explicitly describe a two-stage randomization that separates take-up selection from repayment incentives.",borrowers must not know the later contract term at application,C002 gold: Linchpin 3; Must-Have Condition 4; Claim-Evidence Expectations on blindness,yes,"Sections 7, 8, 10, and 11 explicitly flag information contamination and require information separation as a validity condition.",2,2,Threat recognition is direct and design-linked.
C004,RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated,clicks and attributed conversions are endogenous and cannot anchor the causal estimand,C004 gold: Linchpin 1; Must-Have Conditions 1-3; Common Invalid Designs 1-2,yes,Sections 10 and 17 reject user-level click comparisons and instead anchor the design on market-level ad availability and total downstream sales.,market-level background trends require explicit pre/post counterfactual validation,C004 gold: Linchpin 2; Must-Have Condition 4; Claim-Evidence Expectations on exogenous ad availability,yes,"Sections 7, 8, 11, 13, and 16 explicitly center non-parallel pre-trends and panel-based diagnostics as the main identification threat.",2,2,The output clearly recognizes both endogenous click data and market-trend threats.
C005,RUN_20260527_224724_11_openclaw_deepseekv4pro_isolated,"actual focal-ad exposure is endogenous because auctions, targeting, and optimization select who sees the ad",C005 gold: Linchpin L001-L002; Must-Have Conditions 1-2; Claim-Evidence Expectations 1 and 3,yes,"Sections 7, 9, 15, and 16 explicitly describe non-ignorable selection between assignment and realized exposure and discuss optimization-driven bias.","the valid counterfactual is a comparable exposure-opportunity control group, not a generic ITT or exposed-versus-unexposed comparison",C005 gold: Linchpin L001-L003; Must-Have Condition 3; Claim-Evidence Expectations 2 and 4,no,The output pivots to an encouragement-design ITT/CACE framework and never explicitly defines or defends a same-opportunity control group for treated exposed users.,1,2,"Strong on exposure endogeneity, but it misses the benchmark's narrower opportunity-matched control requirement."
C008,RUN_20260527_230420_15_openclaw_deepseekv4pro_isolated,treated-store before-after comparisons are invalid without untreated counterfactual structure and trend validation,C008 gold: Linchpin L001-L002; Must-Have Conditions 1-3; Common Invalid Designs 1-2,yes,"Sections 7, 9, 11, 13, and 16 all foreground non-random treatment selection, parallel trends, untreated cells, and event-study validation.",actual paid prices and promotions must be controlled so that salience is not confounded with price changes,C008 gold: Measurement condition L003; Must-Have Condition 5; Common Invalid Design 3,yes,"The executive summary, Sections 7, 9, 15, 16, and the claim table all explicitly discuss actual prices and promotions as competing explanations that must be controlled.",2,2,Threat recognition is explicit and tied to concrete design responses.
C010,RUN_20260527_231632_18_openclaw_deepseekv4pro_isolated,timing must be separated from subsidy magnitude and convenience; a generic subsidy contrast is insufficient,C010 gold: Linchpin L001-L002; Must-Have Conditions 1-4; Common Invalid Design 1,yes,"Sections 7, 9, 10, and 16 explicitly use the T1/T2/T4 contrasts to separate timing from price magnitude and convenience.",actual adoption and reminder-only comparisons are needed; intentions alone cannot identify the mechanism,C010 gold: Linchpin L003; Must-Have Conditions 3 and 5; Claim-Evidence Expectations 3-4,yes,"Sections 9, 15, 16, and 17 treat actual adoption as the primary outcome and use a reminder-only arm to address salience/forgetting alternatives.",2,2,The output recognizes both the timing bundle problem and the reminder/intention threat.
C014,RUN_20260527_232816_21_openclaw_deepseekv4pro_isolated,official records are manipulable and cannot serve as the sole corruption outcome,C014 gold: Linchpin L001; Must-Have Conditions 1-2; Claim-Evidence Expectations 1-2,yes,"Sections 7, 9, 15, 16, and 17 explicitly state that administrative outcomes may react through reporting and that independent leakage measurement is essential.",administrative or participation outcomes are not the same as true corruption outcomes,C014 gold: Must-Have Condition 5; Claim-Evidence Expectations 4; Common Invalid Design 3,yes,Sections 16 and 17 explicitly separate administrative effects from true leakage reduction and warn that monitoring-related participation or reporting changes do not equal corruption reduction.,2,2,This case shows strong recognition that outcome validity is part of identification.
C016,RUN_20260527_234026_24_openclaw_deepseekv4pro_isolated,planned school-level variation may be non-random and confounded by school selection,C016 gold: Must-Have Conditions 2 and 5; Common Invalid Design 1,yes,"Sections 7, 8, 10, 11, 16, and 17 explicitly state that the packet does not guarantee random assignment and that causal claims depend on confirming a real identification device.",objective downstream outcomes are central; self-reports are selected and reporting-biased,C016 gold: Linchpin L002; Must-Have Condition 3; Claim-Evidence Expectations 2 and 4,yes,"Sections 10, 15, and 17 explicitly center the objective outcome and describe self-reports as supplementary and vulnerable to selection and reporting bias.",2,2,Threat recognition is strong even though later mechanism interpretation elsewhere can still overreach.
C019,RUN_20260527_235916_28_openclaw_deepseekv4pro_isolated,"observed route length is endogenous, so naive route-length regressions are not causal",C019 gold: Linchpin L001-L002; Must-Have Conditions 1-2; Common Invalid Design 1,yes,"Sections 7, 8, 10, and 17 explicitly describe simultaneity and reverse causality in observed route length and downgrade naive route coefficients.",planned basket and shopping mission controls are required because they shape both route construction and unplanned spending,C019 gold: Linchpin L003; Must-Have Condition 4; Claim-Evidence Expectations 3,yes,"Sections 7, 11, and 15 explicitly discuss pre-trip planned basket measurement, mission controls, and budget-related confounding.",2,2,The output clearly recognizes both endogenous wandering and mission-selection threats.
C020,RUN_20260528_001055_31_openclaw_deepseekv4pro_isolated,historical manager-chosen price endings are endogenous; valid causal inference requires randomized format variation,C020 gold: Linchpin L001; Must-Have Conditions 1-2; Claim-Evidence Expectations 1-2,yes,"Sections 8, 9, 10, and 11 explicitly assume researcher-randomized format assignment and reject historical observational pricing as a causal basis.","format effects are confounded with bargain or sale cues, and familiarity heterogeneity is descriptive unless separately justified",C020 gold: Linchpin L002-L003; Must-Have Conditions 4-5; Claim-Evidence Expectations 3-4,yes,"Sections 7, 9, 16, and 17 explicitly discuss bargain-signal confounding, explicit promo-cue crossing, and the non-causal status of familiarity moderation.",2,2,The output is explicit about both promotional-cue confounding and the limits of familiarity heterogeneity.
