run_id,case_id,variant_id,level,agent_name,agent_variant,model,model_provider,openclaw_build_or_version,temperature,top_p,max_tokens,seed,tools_enabled,closed_book,channel,timestamp,input_file,raw_output_file,status,contamination_status,contamination_reason,notes
RUN_20260524_163537_openclaw_deepseekv4pro,C001,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,none,true,cli,2026-05-24T16:35:37+08:00,benchmark/cases/C001_charitable_giving/agent_task_level2.md,outputs/raw_agent_logs/pilot/C001_level2_openclaw_RUN_20260524_163537_openclaw_deepseekv4pro.md,runtime_fail,clean,none observed; web disabled and tools.entries=0,smoke test 1 timed out at 303124ms with thinking=high
RUN_20260524_164640_openclaw_deepseekv4pro,C001,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,none,true,cli,2026-05-24T16:46:40+08:00,benchmark/cases/C001_charitable_giving/agent_task_level2.md,outputs/raw_agent_logs/pilot/C001_level2_openclaw_RUN_20260524_164640_openclaw_deepseekv4pro.md,success,suspected,output referenced details not explicitly present in the packet and likely inferred the original design family; no tool use observed,smoke test 2 completed under timeout 1200s; contract followed but source-design inference risk observed
RUN_20260525_160503_openclaw_deepseekv4pro,C001,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,packet_grounded_with_tools,false,cli,2026-05-25T16:05:03+0800,benchmark/cases/C001_charitable_giving/agent_task_level2.md,outputs/raw_agent_logs/pilot/C001_level2_openclaw_RUN_20260525_160503_openclaw_deepseekv4pro.md,success,suspected,pilot review found packet-overreach and unsupported operational specificity under tool-enabled packet-grounded conditions,pilot batch level2; timeout=1200; thinking=high; pending review
RUN_20260525_160929_openclaw_deepseekv4pro,C002,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,packet_grounded_with_tools,false,cli,2026-05-25T16:09:29+0800,benchmark/cases/C002_consumer_credit/agent_task_level2.md,outputs/raw_agent_logs/pilot/C002_level2_openclaw_RUN_20260525_160929_openclaw_deepseekv4pro.md,success,suspected,pilot review found packet-overreach and unsupported operational specificity under tool-enabled packet-grounded conditions,pilot batch level2; timeout=1200; thinking=high; pending review
RUN_20260525_161357_openclaw_deepseekv4pro,C005,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,packet_grounded_with_tools,false,cli,2026-05-25T16:13:57+0800,benchmark/cases/C005_online_ad_measurement/agent_task_level2.md,outputs/raw_agent_logs/pilot/C005_level2_openclaw_RUN_20260525_161357_openclaw_deepseekv4pro.md,success,suspected,pilot review found packet-overreach and unsupported operational specificity under tool-enabled packet-grounded conditions,pilot batch level2; timeout=1200; thinking=high; pending review
RUN_20260525_161932_openclaw_deepseekv4pro,C008,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,packet_grounded_with_tools,false,cli,2026-05-25T16:19:32+0800,benchmark/cases/C008_retail_tax_salience/agent_task_level2.md,outputs/raw_agent_logs/pilot/C008_level2_openclaw_RUN_20260525_161932_openclaw_deepseekv4pro.md,success,suspected,pilot review found packet-overreach and unsupported operational specificity under tool-enabled packet-grounded conditions,pilot batch level2; timeout=1200; thinking=high; pending review
RUN_20260525_162433_openclaw_deepseekv4pro,C014,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,packet_grounded_with_tools,false,cli,2026-05-25T16:24:33+0800,benchmark/cases/C014_corruption_monitoring/agent_task_level2.md,outputs/raw_agent_logs/pilot/C014_level2_openclaw_RUN_20260525_162433_openclaw_deepseekv4pro.md,success,suspected,pilot review found packet-overreach and unsupported operational specificity under tool-enabled packet-grounded conditions,pilot batch level2; timeout=1200; thinking=high; pending review
RUN_20260525_183040_openclaw_deepseekv4pro_isolated,C001,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,retrieval_assisted_locally_isolated,false,cli,2026-05-25T18:30:40+0800,benchmark/cases/C001_charitable_giving/agent_task_level2.md,outputs/raw_agent_logs/pilot/C001_level2_openclaw_RUN_20260525_183040_openclaw_deepseekv4pro_isolated.md,success,suspected,unsupported opt-out and pre-visit implementation details persisted under isolated no-tool rerun,task17 isolated rerun level2; timeout=86400; thinking=high; local-file-isolated; actual tool use=none
RUN_20260525_183518_openclaw_deepseekv4pro_isolated,C002,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,retrieval_assisted_locally_isolated,false,cli,2026-05-25T18:35:18+0800,benchmark/cases/C002_consumer_credit/agent_task_level2.md,outputs/raw_agent_logs/pilot/C002_level2_openclaw_RUN_20260525_183518_openclaw_deepseekv4pro_isolated.md,success,suspected,over-specific post-acceptance design persisted and output violated all-English contract under isolated no-tool rerun,task17 isolated rerun level2; timeout=86400; thinking=high; local-file-isolated; actual tool use=none
RUN_20260525_183846_openclaw_deepseekv4pro_isolated,C005,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,retrieval_assisted_locally_isolated,false,cli,2026-05-25T18:38:46+0800,benchmark/cases/C005_online_ad_measurement/agent_task_level2.md,outputs/raw_agent_logs/pilot/C005_level2_openclaw_RUN_20260525_183846_openclaw_deepseekv4pro_isolated.md,success,clean,no substantive overreach detected in isolated rerun; actual tool use=none,task17 isolated rerun level2; timeout=86400; thinking=high; local-file-isolated; semantic-scholar startup noise only
RUN_20260525_184335_openclaw_deepseekv4pro_isolated,C008,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,retrieval_assisted_locally_isolated,false,cli,2026-05-25T18:43:35+0800,benchmark/cases/C008_retail_tax_salience/agent_task_level2.md,outputs/raw_agent_logs/pilot/C008_level2_openclaw_RUN_20260525_184335_openclaw_deepseekv4pro_isolated.md,success,clean,primary design stayed within packet support in isolated rerun; actual tool use=none,task17 isolated rerun level2; timeout=86400; thinking=high; local-file-isolated; semantic-scholar startup noise only
RUN_20260525_184805_openclaw_deepseekv4pro_isolated,C014,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,retrieval_assisted_locally_isolated,false,cli,2026-05-25T18:48:05+0800,benchmark/cases/C014_corruption_monitoring/agent_task_level2.md,outputs/raw_agent_logs/pilot/C014_level2_openclaw_RUN_20260525_184805_openclaw_deepseekv4pro_isolated.md,success,clean,independent-measurement-centered design stayed within packet support; actual tool use=none,task17 isolated rerun level2; timeout=86400; thinking=high; local-file-isolated; actual tool use=none
RUN_20260525_213551_openclaw_deepseekv4pro_isolated,C001,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-25T21:35:51+0800,benchmark/cases/C001_charitable_giving/agent_task_level2.md,outputs/raw_agent_logs/pilot/C001_level2_openclaw_RUN_20260525_213551_openclaw_deepseekv4pro_isolated.md,success,suspected,still instantiated an explicit opt-out/easy-avoidance arm and doorstep baseline beyond packet support under isolated no-tool rerun,focused rerun after benchmark-isolated semantics freeze; timeout=86400; thinking=high; local-file-isolated; actual tool use=none
RUN_20260525_214053_openclaw_deepseekv4pro_isolated,C002,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-25T21:40:53+0800,benchmark/cases/C002_consumer_credit/agent_task_level2.md,outputs/raw_agent_logs/pilot/C002_level2_openclaw_RUN_20260525_214053_openclaw_deepseekv4pro_isolated.md,success,suspected,still asserted an undisclosed post-acceptance two-stage design as if established by the packet though the output remained fully English,focused rerun after benchmark-isolated semantics freeze; timeout=86400; thinking=high; local-file-isolated; actual tool use=none; semantic-scholar startup timeout noise only
