case_id,variant_id,agent_name,run_id,claim_id,claim_text,evidence_used,claim_type,confidence,annotation_label,error_type,severity,annotator_id,notes
C001,level2,openclaw,RUN_20260525_160503_openclaw_deepseekv4pro,C001_Q1,"A concrete opt-out solicitation arm can be treated as known from the packet.","Packet allows varying pre-contact interaction cost but does not specify opt-out mechanics.",design,high,unsupported,unsupported_operational_specificity,high,codex_pilot_quick,task17 quick review
C001,level2,openclaw,RUN_20260525_160503_openclaw_deepseekv4pro,C001_Q2,"Random assignment of solicitation-process conditions would support ITT claims on contact and unconditional giving.","Packet states assignment is researcher-controlled across eligible units.",causal,medium,supported,none,low,codex_pilot_quick,task17 quick review
C001,level2,openclaw,RUN_20260525_160503_openclaw_deepseekv4pro,C001_Q3,"The design cannot identify the exact share of giving attributable to social pressure without stronger assumptions.","Limitation follows from packet-level mechanism ambiguity and post-treatment selection.",mechanism,medium,supported,none,low,codex_pilot_quick,task17 quick review
C002,level2,openclaw,RUN_20260525_160929_openclaw_deepseekv4pro,C002_Q1,"The packet supports a fully specified second-stage randomization of realized contract terms after acceptance.","Packet mentions later terms or incentives but not this exact randomized implementation.",design,medium,unsupported,unsupported_operational_specificity,high,codex_pilot_quick,task17 quick review
C002,level2,openclaw,RUN_20260525_160929_openclaw_deepseekv4pro,C002_Q2,"Information timing is central for separating selection from post-borrowing incentives.","Explicitly stated in the packet's specific questions and mechanisms.",mechanism,high,supported,none,low,codex_pilot_quick,task17 quick review
C002,level2,openclaw,RUN_20260525_160929_openclaw_deepseekv4pro,C002_Q3,"If later terms are anticipated, the clean selection-versus-incentive decomposition breaks down.","Directly implied by the packet's warning that borrower knowledge can collapse the distinction.",causal,medium,supported,none,low,codex_pilot_quick,task17 quick review
C005,level2,openclaw,RUN_20260525_161357_openclaw_deepseekv4pro,C005_Q1,"The packet supports a ghost-auction-based counterfactual exposure design.","Packet mentions comparable opportunity-side signals but not ghost-auction instrumentation.",design,high,unsupported,unsupported_operational_specificity,high,codex_pilot_quick,task17 quick review
C005,level2,openclaw,RUN_20260525_161357_openclaw_deepseekv4pro,C005_Q2,"Campaign-assignment ITT is the strongest robust causal estimand when actual exposure is selected by platform delivery.","Consistent with packet distinction between assignment and realized exposure.",causal,high,supported,none,low,codex_pilot_quick,task17 quick review
C005,level2,openclaw,RUN_20260525_161357_openclaw_deepseekv4pro,C005_Q3,"LATE for actual exposure requires stronger assumptions than campaign-assignment ITT.","Appropriate evidence hierarchy given packet constraints on selected delivery.",causal,medium,supported,none,low,codex_pilot_quick,task17 quick review
C008,level2,openclaw,RUN_20260525_161932_openclaw_deepseekv4pro,C008_Q1,"A triple-difference design is directly supported by the packet.","Packet suggests possible comparison groups but does not guarantee the full triple-difference structure.",design,medium,overclaim,over_specific_identification_claim,medium,codex_pilot_quick,task17 quick review
