case_id,domain,design_family,key_failure_mode,variant_id,n_claims,mean_claim_score,supported_rate,partial_rate,unsupported_rate,contradicted_rate,inconsistency_rate,critical_issue_rate,level
C001,behavioral,mechanism_experiment,mechanism_confounding,level2,9,0.7778,0.5556,0.4444,0.0,0.0,0.4444,0.0,level2
C001,behavioral,mechanism_experiment,mechanism_confounding,level3,7,0.7143,0.4286,0.5714,0.0,0.0,0.5714,0.0,level3
C001,behavioral,mechanism_experiment,mechanism_confounding,no_solution,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,no_solution
C001,behavioral,mechanism_experiment,mechanism_confounding,perturbed,8,0.8125,0.75,0.125,0.0,0.125,0.25,0.125,perturbed
C002,consumer_finance,factorial_RCT,mechanism_confounding,level2,10,0.9,0.8,0.2,0.0,0.0,0.2,0.0,level2
C002,consumer_finance,factorial_RCT,mechanism_confounding,level3,7,0.9286,0.8571,0.1429,0.0,0.0,0.1429,0.0,level3
C002,consumer_finance,factorial_RCT,mechanism_confounding,perturbed,8,0.875,0.875,0.0,0.0,0.125,0.125,0.125,perturbed
C004,platform_economics,field_experiment,endogenous_exposure,level2,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,level2
C004,platform_economics,field_experiment,endogenous_exposure,level3,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,level3
C004,platform_economics,field_experiment,endogenous_exposure,perturbed,6,0.75,0.6667,0.1667,0.1667,0.0,0.3333,0.1667,perturbed
C005,platform_economics,field_experiment,endogenous_exposure,level2,10,0.8,0.7,0.2,0.1,0.0,0.3,0.0,level2
C005,platform_economics,field_experiment,endogenous_exposure,level3,8,0.9375,0.875,0.125,0.0,0.0,0.125,0.0,level3
C005,platform_economics,field_experiment,endogenous_exposure,no_solution,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,no_solution
C005,platform_economics,field_experiment,endogenous_exposure,perturbed,7,0.5714,0.5714,0.0,0.2857,0.1429,0.4286,0.1429,perturbed
C008,public_econ,DID,timing_endogeneity,level2,10,0.95,0.9,0.1,0.0,0.0,0.1,0.0,level2
C008,public_econ,DID,timing_endogeneity,level3,8,0.9375,0.875,0.125,0.0,0.0,0.125,0.0,level3
C008,public_econ,DID,timing_endogeneity,perturbed,8,0.75,0.75,0.0,0.25,0.0,0.25,0.125,perturbed
C010,development,mechanism_experiment,mechanism_confounding,level2,9,0.7222,0.6667,0.1111,0.2222,0.0,0.3333,0.1111,level2
C010,development,mechanism_experiment,mechanism_confounding,level3,10,0.85,0.7,0.3,0.0,0.0,0.3,0.0,level3
C010,development,mechanism_experiment,mechanism_confounding,perturbed,7,0.7857,0.7143,0.1429,0.1429,0.0,0.2857,0.1429,perturbed
C014,political_econ,field_experiment,measurement_error,level2,10,0.8,0.7,0.2,0.1,0.0,0.3,0.0,level2
C014,political_econ,field_experiment,measurement_error,level3,10,0.75,0.6,0.3,0.1,0.0,0.4,0.0,level3
C014,political_econ,field_experiment,measurement_error,perturbed,8,0.375,0.375,0.0,0.375,0.25,0.625,0.25,perturbed
C016,health,field_experiment,measurement_error,level2,10,0.45,0.2,0.5,0.3,0.0,0.8,0.1,level2
C016,health,field_experiment,measurement_error,level3,8,0.875,0.75,0.25,0.0,0.0,0.25,0.0,level3
C016,health,field_experiment,measurement_error,no_solution,11,0.9545,0.9091,0.0909,0.0,0.0,0.0909,0.0,no_solution
C016,health,field_experiment,measurement_error,perturbed,7,0.7857,0.7143,0.1429,0.0,0.1429,0.2857,0.1429,perturbed
C019,marketing,IV,endogenous_exposure,level2,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,level2
C019,marketing,IV,endogenous_exposure,level3,7,0.8571,0.7143,0.2857,0.0,0.0,0.2857,0.0,level3
C019,marketing,IV,endogenous_exposure,perturbed,7,0.7857,0.7143,0.1429,0.1429,0.0,0.2857,0.0,perturbed
C020,marketing,field_experiment,mechanism_confounding,level2,8,0.8125,0.75,0.125,0.125,0.0,0.25,0.0,level2
C020,marketing,field_experiment,mechanism_confounding,level3,8,0.5,0.5,0.0,0.5,0.0,0.5,0.0,level3
C020,marketing,field_experiment,mechanism_confounding,no_solution,9,0.8889,0.8889,0.0,0.0,0.1111,0.1111,0.1111,no_solution
C020,marketing,field_experiment,mechanism_confounding,perturbed,9,0.8889,0.8889,0.0,0.1111,0.0,0.1111,0.0,perturbed
