run_id,case_id,variant_id,domain,design_family,key_failure_mode,n_claims,mean_claim_score,supported_rate,partial_rate,unsupported_rate,contradicted_rate,inconsistency_rate,critical_issue_rate,supported_causal_claims,no_solution_honest
RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,C001,level2,behavioral,mechanism_experiment,mechanism_confounding,9,0.7778,0.5556,0.4444,0.0,0.0,0.4444,0.0,4,
RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,C001,level3,behavioral,mechanism_experiment,mechanism_confounding,7,0.7143,0.4286,0.5714,0.0,0.0,0.5714,0.0,3,
RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,C002,level2,consumer_finance,factorial_RCT,mechanism_confounding,10,0.9,0.8,0.2,0.0,0.0,0.2,0.0,6,
RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated,C002,level3,consumer_finance,factorial_RCT,mechanism_confounding,7,0.9286,0.8571,0.1429,0.0,0.0,0.1429,0.0,4,
RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated,C002,perturbed,consumer_finance,factorial_RCT,mechanism_confounding,8,0.875,0.875,0.0,0.0,0.125,0.125,0.125,5,
RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated,C004,level2,platform_economics,field_experiment,endogenous_exposure,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,
RUN_20260527_223821_09_openclaw_deepseekv4pro_isolated,C004,level3,platform_economics,field_experiment,endogenous_exposure,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,
RUN_20260527_224310_10_openclaw_deepseekv4pro_isolated,C004,perturbed,platform_economics,field_experiment,endogenous_exposure,6,0.75,0.6667,0.1667,0.1667,0.0,0.3333,0.1667,0,
RUN_20260527_224724_11_openclaw_deepseekv4pro_isolated,C005,level2,platform_economics,field_experiment,endogenous_exposure,10,0.8,0.7,0.2,0.1,0.0,0.3,0.0,3,
RUN_20260527_225055_12_openclaw_deepseekv4pro_isolated,C005,level3,platform_economics,field_experiment,endogenous_exposure,8,0.9375,0.875,0.125,0.0,0.0,0.125,0.0,5,
