case_id,run_id,retrieval_attempted,retrieval_successful,retrieval_tool_calls,actual_tool_use,usefulness_label,rationale
C001,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search,true,true,10,"deepxiv__search_papers,deepxiv__get_paper_brief",neutral,"Retrieval supplied bound-style and sensitivity-analysis language, but the final downgrade is broadly the same packet-grounded move already achieved in v1."
C002,RUN_20260601_142014_02_openclaw_deepseekv4pro_researchagentv2search,true,true,15,"deepxiv__search_papers,web_search",helpful,"Retrieval on Karlan-Zinman style designs and anticipated contract terms directly supports abandoning the selection-versus-incentive decomposition after the perturbation."
C004,RUN_20260601_143245_03_openclaw_deepseekv4pro_researchagentv2search,true,true,17,"deepxiv__search_papers,deepxiv__get_paper_brief",helpful,"Retrieval materially strengthens the rejection of observational causal salvage by citing evidence on large nonexperimental advertising-measurement error."
C005,RUN_20260601_145350_04_openclaw_deepseekv4pro_researchagentv2search,true,true,19,"deepxiv__search_papers,web_search,deepxiv__get_paper_brief,deepxiv__get_paper_preview",helpful,"Retrieval helps kill the remaining v1 failure mode by explicitly rejecting exposure-level IV/LATE recovery and centering the assignment-level ITT instead."
C008,RUN_20260601_150718_05_openclaw_deepseekv4pro_researchagentv2search,true,true,24,"deepxiv__search_papers,deepxiv__get_paper_brief,semantic-scholar__get_paper_details,semantic-scholar__search_papers",helpful,"Retrieval on within-store interference bias and contaminated untreated comparisons directly supports dropping the residual within-store DiD/salience salvage that survived in v1."
C010,RUN_20260601_152208_06_openclaw_deepseekv4pro_researchagentv2search,true,true,14,"deepxiv__search_papers,deepxiv__get_paper_brief",neutral,"The final downgrade to a menu-announcement bundle ITT follows the packet logic cleanly; retrieval adds support but does not appear to change the qualitative design choice relative to a strong critic-only run."
C014,RUN_20260601_153503_07_openclaw_deepseekv4pro_researchagentv2search,true,true,19,"deepxiv__search_papers,semantic-scholar__search_papers,web_search,web_fetch",helpful,"Retrieval sharpens the measurement argument by reinforcing the distinction between reporting effects and true corruption effects, supporting a reporting-only ITT."
C016,RUN_20260601_154952_08_openclaw_deepseekv4pro_researchagentv2search,true,true,17,"deepxiv__search_papers,semantic-scholar__search_papers,deepxiv__get_paper_metadata,deepxiv__get_paper_section,deepxiv__get_paper_brief",helpful,"The retrieved self-report measurement literature is central to the memo's downgrade from actual-behavior claims to self-reported ITT plus sensitivity analysis."
C019,RUN_20260601_160120_09_openclaw_deepseekv4pro_researchagentv2search,true,true,18,"deepxiv__search_papers,semantic-scholar__search_papers,deepxiv__get_paper_brief,web_search",neutral,"Retrieval supports the descriptive fallback, but v1 had already made the key downgrade; the extra search does not visibly change the final estimand choice."
C020,RUN_20260601_161412_10_openclaw_deepseekv4pro_researchagentv2search,true,true,14,"deepxiv__search_papers,semantic-scholar__search_papers,web_search,deepxiv__get_paper_brief",noisy,"The final memo still lands on the correct bundle-only estimand, but retrieval incurred a semantic-scholar rate-limit event and one off-topic deepxiv result, so the search layer added noise rather than a clearly better design move."
