case_id,variant_id,level,agent_name,agent_variant,run_id,claim_id,claim_type,agent_claim,final_label,final_error_type,final_severity,adjudicator_id,adjudication_notes
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL001,Causal (ITT),In-person solicitation increases the probability of giving relative to flyer-only solicitation,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL002,Causal,Advance notice (T2) changes the probability of contact relative to no notice (T1),supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL003,Causal,Providing an opt-out (T4) reduces total giving relative to mandatory visit (T2),partially_supported,Overclaim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL004,Suggestive/mechanism,Social pressure is a meaningful driver of in-person giving,partially_supported,Overclaim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL005,Suggestive/mechanism,Genuine demand is the primary driver of giving,unsupported,Unsupported Claim,critical,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL006,Methodological caveat,The T1–T3 difference overestimates pressure because of attention effects,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL007,Suggestive/mechanism,Households that opt out of visits (T4) would have been pressure-givers in T1,unsupported,Unsupported Claim,critical,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL008,Methodological caveat,Selection into contact biases contact-conditional comparisons,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL009,Suggestive/mechanism,Solicitor identity affects giving through social interaction channels,unsupported,Unsupported Claim,minor,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated,RUN_20260529_112246_01_openclaw_deepseekv4pro_isolated_CL010,Not a claim of this design,The results from this setting generalize to other fundraising contexts,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL001,Causal (ITT),Advance notice affects contact probability,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL002,Causal (ITT),Adding a low-cost opt-out reduces contact probability,partially_supported,Overclaim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL003,Causal (ITT),Unconditional giving differs across solicitation-process conditions,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
